Division,Store Banner,Store No,Store Name,Address,City,Prv,Postal Code,Telephone,Fax
Market,Valu-Mart,2729,Store 2729,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Other,Other,3629,Store 3629,Unknown,Unknown,Other,Unknown,Unknown,Unknown
Other,Other,3687,Store 3687,Unknown,Unknown,Other,Unknown,Unknown,Unknown
Other,Other,7206,Store 7206,Unknown,Unknown,Other,Unknown,Unknown,Unknown
Discount,Nofrills,7441,Store 7441,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Discount,Maxi,7560,Store 7560,Unknown,Unknown,QC,Unknown,Unknown,Unknown
Discount,no name store,9484,Store 9484,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Discount,no name store,9485,Store 9485,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Discount,no name store,9486,Store 9486,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Market,Fortinos,4014,Store 4014,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Discount,Nofrills,9474,Store 9474,Unknown,Unknown,AB,Unknown,Unknown,Unknown
Discount,Maxi,8853,Store 8853,Unknown,Unknown,QC,Unknown,Unknown,Unknown
Super Market,Fortinos,39,Store 39,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,46,Store 46,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,48,Store 48,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,55,Store 55,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,65,Store 65,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,67,Store 67,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,78,Store 78,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,86,Store 86,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,96,Store 96,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Emerging,Real Canadian Liquor Store,101,Store 101,Unknown,Unknown,AB,Unknown,Unknown,Unknown
Super Market,Fortinos,199,Store 199,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,202,Store 202,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,209,Store 209,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,210,Store 210,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,211,Store 211,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,214,Store 214,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,215,Store 215,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,217,Store 217,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,220,Store 220,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,226,Store 226,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,231,Store 231,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,238,Store 238,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,244,Store 244,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,245,Store 245,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,248,Store 248,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,249,Store 249,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,254,Store 254,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,262,Store 262,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,266,Store 266,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,291,Store 291,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Fortinos,300,Store 300,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Wholesale Club,301,Store 301,Unknown,Unknown,NB,Unknown,Unknown,Unknown
Super Market,Wholesale Club,307,Store 307,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,309,Store 309,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,311,Store 311,Unknown,Unknown,NB,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,312,Store 312,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,313,Store 313,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,314,Store 314,Unknown,Unknown,PE,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,315,Store 315,Unknown,Unknown,NB,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,316,Store 316,Unknown,Unknown,NB,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,317,Store 317,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,318,Store 318,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,321,Store 321,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Atlantic Superstore,325,Store 325,Unknown,Unknown,NB,Unknown,Unknown,Unknown
