Week End Date,Store No,Product,Dollar Sales,Unit Sales,UPC ID,Geography
1/8/2025,666,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 666
1/8/2025,655,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 655
1/15/2025,659,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 659
1/15/2025,644,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 644
1/1/2025,609,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 609
1/22/2025,551,Cocacola Classic 355 Ml,28,12,00006700011483,Store 551
1/1/2025,677,Cocacola Classic 355 Ml,28,12,00006700011483,Store 677
1/15/2025,455,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 455
1/15/2025,423,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 423
1/15/2025,304,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 304
1/22/2025,895,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 895
1/22/2025,715,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 715
1/22/2025,445,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 445
1/8/2025,847,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 847
1/8/2025,786,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 786
1/8/2025,647,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 647
1/1/2025,755,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 755
1/1/2025,304,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 304
1/15/2025,816,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 816
1/15/2025,815,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 815
1/22/2025,895,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 895
1/22/2025,816,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 816
1/22/2025,546,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 546
1/22/2025,489,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 489
1/22/2025,481,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 481
1/22/2025,460,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 460
1/22/2025,458,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 458
1/22/2025,455,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 455
1/22/2025,445,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 445
1/8/2025,647,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 647
1/8/2025,488,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 488
1/8/2025,425,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 425
1/1/2025,549,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 549
1/1/2025,474,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 474
1/1/2025,438,Panache Soda Italian Strawberr 750 Ml,28,12,00062368213417,Store 438
1/8/2025,551,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 551
1/15/2025,658,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 658
1/1/2025,609,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 609
1/8/2025,666,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 666
1/8/2025,655,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 655
1/8/2025,375,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 375
1/15/2025,677,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 677
1/15/2025,666,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 666
1/8/2025,549,Cocacola Diet 355Ml 355 Ml,28,12,00006700001928,Store 549
1/15/2025,549,Cocacola Diet 355Ml 355 Ml,28,12,00006700001928,Store 549
1/15/2025,859,Budrmgin Beer Gngr Nonalch R/S 250 Ml,28,12,00085760501511,Store 859
1/15/2025,66,Fevertre Tonic Water Light 800 Ml,63.92,12,00506010846023,Store 66
1/22/2025,39,Fevertre Tonic Water Light 800 Ml,63.92,12,00506010846023,Store 39
1/8/2025,758,Fevertre Tonic Water Light 800 Ml,63.92,12,00506010846023,Store 758
1/1/2025,38,Fevertre Tonic Water Light 800 Ml,63.92,12,00506010846023,Store 38
1/8/2025,785,Grizzlypaw Grapefruit Soda 1420 Ml,63.92,12,00087452801005,Store 785
1/8/2025,145,Grizzlypaw Grapefruit Soda 1420 Ml,63.92,12,00087452801005,Store 145
1/15/2025,891,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 891
1/15/2025,299,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 299
1/15/2025,59,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 59
1/8/2025,760,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 760
1/8/2025,522,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 522
1/8/2025,120,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 120
1/8/2025,59,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 59
1/8/2025,53,Dads Root Beer 4 Ea,63.92,12,00083362701040,Store 53
1/22/2025,853,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 853
1/22/2025,565,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 565
1/22/2025,549,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 549
1/22/2025,545,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 545
1/22/2025,395,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 395
1/15/2025,659,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 659
1/15/2025,603,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 603
1/1/2025,581,Cocacola Zero Frdg/Mte 355Ml 355 Ml,26,12,00006700001319,Store 581
1/22/2025,405,Comp Soft Drink Choose Up 355 Ml,26,12,00005574234576,Store 405
1/22/2025,636,Big8 Soda Big Up 355 Ml,26,12,00006448001803,Store 636
1/22/2025,664,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 664
1/22/2025,565,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 565
1/22/2025,555,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 555
1/22/2025,543,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 543
1/8/2025,680,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 680
1/1/2025,686,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 686
1/1/2025,565,Barqs Root Beer 355 Ml,26,12,00006700012379,Store 565
1/15/2025,861,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 861
1/15/2025,776,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 776
1/15/2025,693,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 693
1/15/2025,628,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 628
1/22/2025,688,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 688
1/22/2025,684,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 684
1/22/2025,617,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 617
1/22/2025,613,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 613
1/22/2025,609,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 609
1/22/2025,599,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 599
1/22/2025,412,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 412
1/22/2025,405,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 405
1/22/2025,380,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 380
1/22/2025,352,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 352
1/8/2025,718,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 718
1/8/2025,717,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 717
1/8/2025,617,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 617
1/8/2025,559,Marble Pop Blueberry 200 Ml,22,12,00007441078814,Store 559
