Product & Geography Sales Metrics (Gold),,,,
Time:Week Ending 01-08-25,,,,
Province:All Provinces,,,,
Supplier:All Supplier,,,,
Brand:All Brands,,,,
SOF Same Store:All Stores,,,,
e_Commerce:All Sales,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0512,Cocacola Clss Mini Sleek Can 1332 Ml,00006700011983,0,0
0512,Fevertre Ginger Ale 1200 Ml,00081213604020,0,0
0512,Pepsi 1332 Ml,00006900015902,0,0
0512,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,0,0
0512,Canaddry Gingerale 1332 Ml,00006210001144,0,0
0512,Sumol Drink Passionfruit 330 Ml,00560115198929,0,0
0512,7Up Cans Diet 355Ml 355 Ml,00006540001015,0,0
0512,Jones Soda Watermelon 355Ml 355 Ml,00062022121026,0,0
0512,Fanta Soft Drink Orange 2000 Ml,00006700002164,0,0
0512,Canaddry Tonc Water 355 Ml,00006210001244,0,0
0512,Crush Orange Diet 591Ml 591 Ml,00005600001568,0,0
0512,Minhascr Soda Black Cherry 330 Ml,00008526841479,0,0
0512,A&W Rootbeer 355Ml 355 Ml,00005953101002,0,0
0512,Pepsi Zero Sugar 1332 Ml,00006900015936,0,0
0512,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,0,0
0512,A&W Root Beer 1332 Ml,00005953101282,0,0
0512,Sumol Drink Orange 330 Ml,00560115198927,0,0
0512,Fentiman Ginger Beer 275 Ml,00502939601031,0,0
0512,Cocacola Softdrink Zero Cherry 355 Ml,00006700001819,0,0
0512,Aha Crbn Wtr Peach Honey 500 Ml,00006700001982,0,0
0512,Cocacola Zero Sugar Zero Caff 355 Ml,00006700002116,0,0
0512,Cocacola Diet Caff/Free Can 355 Ml,00006700001929,0,0
0512,Jarritos Soft Drink S/Bry Frt 370 Ml,00009047842009,0,0
0512,Cocacola Zero Sugar Ultimate 500 Ml,00006700002159,0,0
0512,Favuzzi Soda Lemon Tonic 275 Ml,00083266101049,0,0
0512,Stewarts Soda Orange Cream 355 Ml,00009879401043,0,0
0512,Fevertre Ginger Beer 200Ml 800 Ml,00089819501127,0,0
0512,Brio Gassosa Bottle 355 Ml,00005995751537,0,0
0512,Canaddry Tonic Water 222Ml 1332 Ml,00006210002040,0,0
0512,Cocacola Sft Drnk Move Bottles 300 Ml,00006700001016,0,0
0512,Fevertre Water Tonic 800 Ml,00089819501101,27.98,3
0512,Annex Lemonade Saskatoon 355 Ml,00062850433318,0,0
0512,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,0,0
0512,Fevertre Tonic Water Light 800 Ml,00506010846023,0,0
0512,7Up Soft Drink Diet 1332 Ml,00006540001808,0,0
0512,Sprite Zero 355 Ml,00006700001461,0,0
0512,Mug Rootbeer Diet 355Ml 12Pk 4260 Ml,00006900005077,0,0
0512,Marco Soda Spruce Can 355 Ml,00062869376100,0,0
0512,Pepsi Multipack 4260 Ml,00006900001984,0,0
0512,Pepsi Zero Sugar 355 Ml,00006900016900,0,0
0512,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,0,0
0512,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,0,0
0512,Favuzzi Soda Siciln Bld Orange 275 Ml,00083266101043,0,0
0512,Comp Cranberry Ginger Ale 355 Ml,00005574255291,0,0
0512,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,0,0
0512,Cocacola Zero 4260 Ml,00006700011746,0,0
0512,7Up Cans 355Ml 12Pk 4260 Ml,00006540001159,0,0
0512,Chllstrt Danceorange Creamsicl 330 Ml,00084055701008,0,0
0512,Gurds Soda Tonic Water 1000 Ml,00005749602147,0,0
0512,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,0,0
0512,Cocacola Diet 2000 Ml,00006700001897,0,0
0512,Fanta Orange Can 355 Ml,00006700001433,0,0
0512,Grizzlypaw Cream Soda 1420 Ml,00018244001195,25.98,3
0512,Fanta Soda Pop Orange 1332 Ml,00006700002153,0,0
0512,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,0,0
0512,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,0,0
0512,Comp Soft Drink Cola 1332 Ml,00005574255844,63.96,6
0512,Grtgentm Soda Bitter Lemon 1500 Ml,00005578901968,0,0
0512,Canaddry Gingerale Diet 4260 Ml,00006210001894,0,0
0512,Fanta Orange Can 1332 Ml,00006700012089,0,0
0512,Cocacola Classic 8520 Ml,00006700002011,0,0
0512,Canaddry Ginger Ale Zero Sugar 355 Ml,00006210001018,0,0
0512,Guarana Beverage Antarcclssc 350 Ml,00789199102390,0,0
0512,Comp Soft Drink Nectar 2000 Ml,00005574234535,0,0
0512,Stewarts Soda Cream 355 Ml,00009879401037,0,0
0512,Big8 Mountain Burst 2L 2000 Ml,00006448001125,0,0
0512,Popshopp Grape 355 Ml,00018000901006,0,0
0512,Muskoka Old Tyme Orange 355 Ml,00062168063238,0,0
0512,Dg Pink Ting 300 Ml,00085862901132,0,0
0512,Virgil Root Beer 355 Ml,00003391922212,0,0
0512,Cocacola Zero 500 Ml,00006700001463,0,0
0512,Marble Pop Blueberry 200 Ml,00007441078814,0,0
0512,Sussex Ginger Ale 355Ml 12Pk 4260 Ml,00005600001699,0,0
0512,Pepsi 1000 Ml,00006900001982,0,0
0512,Muskoka Pale Ginger Ale 355 Ml,00062168063232,0,0
0512,Compliments Asst. Single Tins 355 Ml,00000000003654,0,0
0512,Crush Cream Soda White Can 355 Ml,00005600002107,0,0
0512,Mountain Dew Diet 591 Ml,00006900006058,0,0
0512,Candry Ginger Ale Cbry 355Ml 355 Ml,00006210001248,0,0
0512,Canaddry Gingerale 250 Ml,00006210001117,0,0
0512,Comp Ginger Ale Diet 355Ml 355 Ml,00005574234581,0,0
0512,Jarritos Soft Drink Fruit Pnch 370 Ml,00009047842003,0,0
0512,Virgil Cream Soda 355 Ml,00003391913345,0,0
0512,Cott Pop Root Beer 2L 2000 Ml,00006150001793,0,0
0512,Sparkmouth Sprklng Water Lime 355 Ml,00081827801345,0,0
0512,Loux Orangade 1500 Ml,00520223811007,0,0
0508,Cocacola Clss Mini Sleek Can 1332 Ml,00006700011983,0,0
0508,Fevertre Ginger Ale 1200 Ml,00081213604020,0,0
0508,Pepsi 1332 Ml,00006900015902,0,0
0508,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,0,0
0508,Canaddry Gingerale 1332 Ml,00006210001144,0,0
0508,Sumol Drink Passionfruit 330 Ml,00560115198929,0,0
0508,7Up Cans Diet 355Ml 355 Ml,00006540001015,0,0
0508,Jones Soda Watermelon 355Ml 355 Ml,00062022121026,0,0
0508,Fanta Soft Drink Orange 2000 Ml,00006700002164,0,0
0508,Canaddry Tonc Water 355 Ml,00006210001244,0,0
0508,Crush Orange Diet 591Ml 591 Ml,00005600001568,0,0
0508,Minhascr Soda Black Cherry 330 Ml,00008526841479,0,0
0508,A&W Rootbeer 355Ml 355 Ml,00005953101002,0,0
0508,Pepsi Zero Sugar 1332 Ml,00006900015936,0,0
0508,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,0,0
0508,A&W Root Beer 1332 Ml,00005953101282,0,0
0508,Sumol Drink Orange 330 Ml,00560115198927,0,0
0508,Fentiman Ginger Beer 275 Ml,00502939601031,0,0
