Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 050422,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 1,7Up Soft Drink Diet 1332 Ml,00006540001808,307.72,42
Store 1,Pepsi Multipack 4260 Ml,00006900001984,493.74,39
Store 1,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,664.3,105
Store 1,Pepsi Throwback 355 Ml,00006900002088,104.22,27
Store 1,Fanta Soda Pop Orange 1332 Ml,00006700002153,65.94,9
Store 1,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,135.92,12
Store 1,Comp Soft Drink Cola 1332 Ml,00005574255844,503.64,54
Store 1,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,363.74,39
Store 1,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,109.9,15
Store 1,Cocacola Classic 8520 Ml,00006700002011,319.8,30
Store 1,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,118.86,21
Store 1,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,458.46,81
Store 1,Dads Root Beer 4 Ea,00083362701040,288.66,51
Store 1,Pepsi 1000 Ml,00006900001982,173.42,87
Store 1,Cocacola Zero 500 Ml,00006700001463,143.52,72
Store 1,Marble Pop Blueberry 200 Ml,00007441078814,167.44,84
Store 1,7Up 2L 2000 Ml,00006540001073,29.9,15
Store 3,Sprite Mini Sleek Can 1332 Ml,00006700011986,67.74,9
Store 3,Barrs Drink Irn Bru 1980 Ml,00500038212068,62.24,24
Store 3,Panache Soda Italian Strawberr 750 Ml,00062368213417,7.78,3
Store 3,Schweppe Tonic Water 1332 Ml,00001660001012,135.48,18
Store 3,Sprite Zero 500 Ml,00006700001888,38.9,15
Store 3,Schweppe Ginger Ale 1332 Ml,00001660001010,67.74,9
Store 3,Jones Soda Green Apple 355Ml 355 Ml,00062022121012,83.8,30
Store 3,Grace Soda Pineapple 355 Ml,00005527085229,67.04,24
Store 3,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,00006700011665,50.28,18
Store 3,Calypso Southern Peach Lmnd 473 Ml,00007958119403,134.08,48
Store 3,Comp Soft Drink Choose Up 355 Ml,00005574234576,58.66,21
Store 3,Pepsi Throwback 355 Ml,00006900002088,380.88,108
Store 3,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,185.9,15
Store 3,Cocacola Soft Drink Bottle 300 Ml,00006700001922,15.56,6
Store 3,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,47.16,6
Store 3,Comp Soft Drink Cola 1332 Ml,00005574255844,268.02,27
