Store Ranking,,,,,,,,,,,
Time:Latest 104 Weeks Thu-Wed Ending 012925,,,,,,,,,,,
Product:Soft-Drink,,,,,,,,,,,
Product2:Products by Vendor/Brand,,,,,,,,,,,
Vendor:All Vendors,,,,,,,,,,,
Sobeys Brand:All Brands,,,,,,,,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,,,,,,,,
Geography,Location No,Store No,Store Name,Division Name,Format Name,Banners Name,Store Address,Store Status - 52 Weeks,City Name,Province Name,Postal Code
Store 1,23844,1,Store 1,ECOMMERCE,HOME DELIVERY,VOILA BY SOBEYS,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 2,25764,2,Store 2,ECOMMERCE,HOME DELIVERY,VOILA BY SOBEYS,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 3,24964,3,Store 3,ECOMMERCE,HOME DELIVERY,VOILA PAR IGA,UNKNOWN,ACTIVE,UNKNOWN,QC,UNKNOWN
Store 4,14925,4,Store 4,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 5,21464,5,Store 5,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 6,23944,6,Store 6,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 7,24844,7,Store 7,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 8,11330,8,Store 8,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 9,25267,9,Store 9,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 10,25285,10,Store 10,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 11,24749,11,Store 11,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 12,24228,12,Store 12,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 13,23966,13,Store 13,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 14,23968,14,Store 14,NATIONAL DISCOUNT,DISCOUNT,CHALO,UNKNOWN,ACTIVE,UNKNOWN,BC,UNKNOWN
Store 15,11213,15,Store 15,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 16,11226,16,Store 16,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 17,11231,17,Store 17,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 18,16924,18,Store 18,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 19,11241,19,Store 19,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 20,11242,20,Store 20,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 21,12664,21,Store 21,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 22,15584,22,Store 22,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 23,17069,23,Store 23,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 24,12627,24,Store 24,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 25,12625,25,Store 25,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 26,11251,26,Store 26,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 27,13057,27,Store 27,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 28,12443,28,Store 28,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 29,13060,29,Store 29,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 30,27024,30,Store 30,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,NEW,UNKNOWN,ON,UNKNOWN
Store 31,13625,31,Store 31,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 32,18047,32,Store 32,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 33,11267,33,Store 33,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 34,19824,34,Store 34,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 35,11270,35,Store 35,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 36,11279,36,Store 36,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 37,11732,37,Store 37,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 38,24144,38,Store 38,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 39,14024,39,Store 39,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 40,11296,40,Store 40,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 41,11299,41,Store 41,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 42,11300,42,Store 42,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 43,11301,43,Store 43,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 44,13055,44,Store 44,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 45,14465,45,Store 45,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 46,17844,46,Store 46,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 47,11305,47,Store 47,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,INACTIVE,UNKNOWN,ON,UNKNOWN
Store 48,26369,48,Store 48,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,NEW,UNKNOWN,ON,UNKNOWN
Store 49,11310,49,Store 49,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 50,14666,50,Store 50,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 51,19245,51,Store 51,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 52,11313,52,Store 52,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 53,11317,53,Store 53,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
