product,upc,vendor,brand,category,subcategory,item_size,item_unit,pack_qty
Cocacola Classic 8520 Ml,00006700002011,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,8520,ml,24
Pepsi Cube 355Ml 24Pk 8520 Ml,00006900001062,PEPSICO,PEPSI,CARBONATED SOFT DRINKS,Cola,8520,ml,24
Cocacola Zero Can 8520 Ml,00006700011749,COCA COLA,COKE ZERO,CARBONATED SOFT DRINKS,Cola,8520,ml,24
Canaddry Ginger Ale 8520 Ml,00006210001930,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,8520,ml,24
Cocacola Diet 8520 Ml,00006700002013,COCA COLA,DIET COKE,CARBONATED SOFT DRINKS,Cola,8520,ml,24
Crush Rainbow Pack 355Ml 24Pk 8520 Ml,00005600001118,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,8520,ml,24
Pepsi Diet Cube 355Ml 24Pk 8520 Ml,00006900002611,PEPSICO,PEPSI DIET,CARBONATED SOFT DRINKS,Cola,8520,ml,24
Sprite 8520 Ml,00006700002012,COCA COLA,SPRITE,CARBONATED SOFT DRINKS,Flavoured,8520,ml,24
Pepsi Cans 4260 Ml,00006900001428,PEPSICO,PEPSI,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Pepsi Multipack 4260 Ml,00006900001984,PEPSICO,PEPSI,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Pepsi Diet 355Ml 12Pk 4260 Ml,00006900002428,PEPSICO,PEPSI DIET,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,PEPSICO,PEPSI DIET,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Cocacola Classic 4260 Ml,00006700011402,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,4260,ml,12
7Up Cans 355Ml 12Pk 4260 Ml,00006540001159,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Cocacola Zero 4260 Ml,00006700011746,COCA COLA,COKE ZERO,CARBONATED SOFT DRINKS,Cola,4260,ml,12
7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Canaddry Gingerale Diet 4260 Ml,00006210001894,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Cocacola Diet 4260 Ml,00006700011403,COCA COLA,DIET COKE,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Canaddry Gingerale 4260 Ml,00006210001210,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Pepsi Zero 4260 Ml,00006900002383,PEPSICO,PEPSI ZERO,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Crush Soda Orange 355Ml 12Pk 4260 Ml,00005600001683,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
7Up Multipack 710Ml 6Pk 4260 Ml,00006540001096,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Pepsi Caff/Fre Diet 355Ml 12Pk 4260 Ml,00006900021428,PEPSICO,PEPSI CAFFEINE FREE DIET,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Brisk Iced Tea 4260 Ml,00006900002520,PEPSICO,LIPTON BRISK,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Canaddry Club Soda 4260 Ml,00006210001895,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Mug Rootbeer 355Ml 12Pk 4260 Ml,00006900005051,PEPSICO,MUG,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Cocacola Cherry 4260 Ml,00006700002101,COCA COLA,CHERRY COKE,CARBONATED SOFT DRINKS,Cola,4260,ml,12
7Up Diet 710Ml 6Pk 4260 Ml,00006540001523,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Schwepps Ginger Ale 355Ml 12Pk 4260 Ml,00001660013002,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Schwepps Tonic Watr 355Ml 12Pk 4260 Ml,00001660011002,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
A&W Root Beer 4260 Ml,00005953101220,COCA COLA,AW,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Crush Soda Orange 710Ml 6Pk 4260 Ml,00005600001460,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Schweppe Gingerale 710Ml 6Pk 4260 Ml,00001660001076,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Sprite 4260 Ml,00006700011401,COCA COLA,SPRITE,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Crush Cream Soda 355Ml 12Pk 4260 Ml,00005600002108,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Specialty,4260,ml,12
Crush Cream Soda 355Ml 12Pk 4260 Ml,00005600001685,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Specialty,4260,ml,12
Mountain Dew 6Pk 4260 Ml,00006900003007,PEPSICO,MOUNTAIN DEW,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Mug Rootbeer Diet 355Ml 12Pk 4260 Ml,00006900005077,PEPSICO,MUG,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Pepsi Dt Caf Free 710Ml 6Pk 4260 Ml,00006900021273,PEPSICO,PEPSI CAFFEINE FREE,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Pepsi Wild Cherry 355Ml 12Pk 4260 Ml,00006900031002,PEPSICO,PEPSI WILD CHERRY,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Schwepps Club Soda 355Ml 12Pk 4260 Ml,00001660014002,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Pepsi Pl 355Ml 1X12Pk 4260 Ml,00006900002004,PEPSICO,PEPSI,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Canaddry Diet Ginger Ale 4260 Ml,00006210002099,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Sussex Ginger Ale 355Ml 12Pk 4260 Ml,00005600001699,PEPSICO,SUSSEX,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Sprite Zero 4260 Ml,00006700001387,COCA COLA,SPRITE,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Vernors Gingerale 355Ml 12Pk 4260 Ml,00007143401153,PEPSICO,VERNORS,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Canaddry Club Soda Lemon Lime 4260 Ml,00006210002015,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,4260,ml,12
Pepsi Diet 4260 Ml,00006900002082,PEPSICO,PEPSI DIET,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Nestea Cool 4260 Ml,00008390001240,COCA COLA,NESTEA,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Jonesoda Soda Rb 355Ml 12Pk 4260 Ml,00062022122200,A LASSONDE,JONES SODA,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Crush Cream Soda 4260 Ml,00005600001718,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Specialty,4260,ml,12
Crush Soda Orange Diet 12Pk 4260 Ml,00005600001688,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
7Up 4260 Ml,00006540002020,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,4260,ml,12
Pepsi Zero Sugar 4260 Ml,00006900016918,PEPSICO,PEPSI ZERO,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Schweppes Diet Ginger Ale 4260 Ml,00001660001511,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Cola,4260,ml,12
Crush Cream Soda White 4260 Ml,00005600002105,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Specialty,4260,ml,12
Sevenup Diet 355Ml 8Pk 2840 Ml,00006540001535,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,2840,ml,8
Cocacola Classic 2840 Ml,00006700012200,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,2840,ml,8
Sprite Fridge Mate 355Ml 8Pk 2840 Ml,00006700011620,COCA COLA,SPRITE,CARBONATED SOFT DRINKS,Flavoured,2840,ml,8
Cocacola Clss Mini Sleek Can 1332 Ml,00006700011983,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Canaddry Gingerale 1332 Ml,00006210001144,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Pepsi 1332 Ml,00006900015902,PEPSICO,PEPSI,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,COCA COLA,COKE ZERO,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Coke Diet Mini Sleek Can 1332 Ml,00006700011984,COCA COLA,DIET COKE,CARBONATED SOFT DRINKS,Cola,1332,ml,6
7Up 1332 Ml,00006540015722,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Pepsi Diet 1332 Ml,00006900015904,PEPSICO,PEPSI DIET,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Crush Orange 1332 Ml,00005600001005,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Sprite Mini Sleek Can 1332 Ml,00006700011986,COCA COLA,SPRITE,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Schweppe Tonic Water 1332 Ml,00001660001012,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Schweppe Ginger Ale 1332 Ml,00001660001010,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,1422,ml,6
Pepsi Zero Sugar 1332 Ml,00006900015936,PEPSICO,PEPSI ZERO,CARBONATED SOFT DRINKS,Cola,1332,ml,6
A&W Root Beer 1332 Ml,00005953101282,COCA COLA,AW,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Fresca Soft Drink 222Ml 1332 Ml,00006700012243,COCA COLA,FRESCA,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Canaddry Tonic Water 222Ml 1332 Ml,00006210002040,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Schweppe Club Soda 1332 Ml,00001660001011,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Drpepper Soda Minis 1332 Ml,00005490001055,PEPSICO,DR PEPPER,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Canaddry Club Soda 222Ml 1332 Ml,00006210002042,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Canaddry G/Ale Zero Sugar 1332 Ml,00006210002128,COCA COLA,CADBURY,CARBONATED SOFT DRINKS,Cola,1332,ml,6
7Up Soft Drink Diet 1332 Ml,00006540001808,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,COCA COLA,COKE ZERO,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Canaddry Ginger Ale Diet 1332 Ml,00006210002038,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Canaddry Ginger Ale Blackberry 1332 Ml,00006210002046,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Comp Club Soda 1332 Ml,00005574255842,PRIVATE LABEL,COMPLIMENTS,CARBONATED SOFT DRINKS,Specialty,1332,ml,6
Comp Ginger Ale 1332 Ml,00005574255843,PRIVATE LABEL,COMPLIMENTS,CARBONATED SOFT DRINKS,Specialty,1332,ml,6
Fanta Soda Pop Orange 1332 Ml,00006700002153,COCA COLA,FANTA,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Comp Soft Drink Cola 1332 Ml,00005574255844,PRIVATE LABEL,COMPLIMENTS,CARBONATED SOFT DRINKS,Specialty,1332,ml,6
Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Fanta Orange Can 1332 Ml,00006700012089,COCA COLA,FANTA,CARBONATED SOFT DRINKS,Flavoured,1332,ml,6
Goya Malt Beverage 6Pk 2130 Ml,00004133108822,CANDESA AILMENTS,GOYA,CARBONATED SOFT DRINKS,Ethnic,2130,ml,6
Cocacola Classic 355Ml 6Pk 2130 Ml,00006700002025,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,2130,ml,6
Cocacola Clss Mini Sleek Can 1332 Ml,00006700011987,COCA COLA,COKE CLASSIC,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Cocacola Soft Drink Life 1332 Ml,00006700012218,COCA COLA,COKE LIFE,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Barq'S Root Beer 1332 Ml,00006700012303,COCA COLA,BARQS,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Canaddry Ginger Ale Lemonade 1332 Ml,00006210002056,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Canaddry Ginger Ale Pomegran 1332 Ml,00006210002074,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,1332,ml,6
Cocacola Cherry 1332 Ml,00006700012250,COCA COLA,CHERRY COKE,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Cocacola Soft Drink Stevia 1332 Ml,00006700001895,COCA COLA,COCA COLA,CARBONATED SOFT DRINKS,Cola,1332,ml,6
Coke Diet 237Ml 6Pk 1422 Ml,00006700002043,COCA COLA,DIET COKE,CARBONATED SOFT DRINKS,Cola,1422,ml,6
7Up Cans 355Ml 6Pk 2130 Ml,00006540001153,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Sevenup Mini Cans 237Ml 6Pk 1422 Ml,00006540002015,PEPSICO,7 UP,CARBONATED SOFT DRINKS,Flavoured,1422,ml,6
