Start Week,End Week,Week,Week_Index
2020-01-02,2020-01-08,202001,1
2020-01-09,2020-01-15,202002,2
2020-01-16,2020-01-22,202003,3
2020-01-23,2020-01-29,202004,4
2020-01-30,2020-02-05,202005,5
2020-02-06,2020-02-12,202006,6
2020-02-13,2020-02-19,202007,7
2020-02-20,2020-02-26,202008,8
2020-02-27,2020-03-04,202009,9
2020-03-05,2020-03-11,202010,10
2020-03-12,2020-03-18,202011,11
2020-03-19,2020-03-25,202012,12
2020-03-26,2020-04-01,202013,13
2020-04-02,2020-04-08,202014,14
2020-04-09,2020-04-15,202015,15
2020-04-16,2020-04-22,202016,16
2020-04-23,2020-04-29,202017,17
2020-04-30,2020-05-06,202018,18
2020-05-07,2020-05-13,202019,19
2020-05-14,2020-05-20,202020,20
2020-05-21,2020-05-27,202021,21
2020-05-28,2020-06-03,202022,22
2020-06-04,2020-06-10,202023,23
2020-06-11,2020-06-17,202024,24
2020-06-18,2020-06-24,202025,25
2020-06-25,2020-07-01,202026,26
2020-07-02,2020-07-08,202027,27
2020-07-09,2020-07-15,202028,28
2020-07-16,2020-07-22,202029,29
2020-07-23,2020-07-29,202030,30
2020-07-30,2020-08-05,202031,31
2020-08-06,2020-08-12,202032,32
2020-08-13,2020-08-19,202033,33
2020-08-20,2020-08-26,202034,34
2020-08-27,2020-09-02,202035,35
2020-09-03,2020-09-09,202036,36
2020-09-10,2020-09-16,202037,37
2020-09-17,2020-09-23,202038,38
2020-09-24,2020-09-30,202039,39
2020-10-01,2020-10-07,202040,40
2020-10-08,2020-10-14,202041,41
2020-10-15,2020-10-21,202042,42
2020-10-22,2020-10-28,202043,43
2020-10-29,2020-11-04,202044,44
2020-11-05,2020-11-11,202045,45
2020-11-12,2020-11-18,202046,46
2020-11-19,2020-11-25,202047,47
2020-11-26,2020-12-02,202048,48
2020-12-03,2020-12-09,202049,49
2020-12-10,2020-12-16,202050,50
2020-12-17,2020-12-23,202051,51
2020-12-24,2020-12-30,202052,52
2020-12-31,2021-01-06,202101,53
2021-01-07,2021-01-13,202102,54
2021-01-14,2021-01-20,202103,55
2021-01-21,2021-01-27,202104,56
2021-01-28,2021-02-03,202105,57
2021-02-04,2021-02-10,202106,58
2021-02-11,2021-02-17,202107,59
2021-02-18,2021-02-24,202108,60
2021-02-25,2021-03-03,202109,61
2021-03-04,2021-03-10,202110,62
2021-03-11,2021-03-17,202111,63
2021-03-18,2021-03-24,202112,64
2021-03-25,2021-03-31,202113,65
2021-04-01,2021-04-07,202114,66
2021-04-08,2021-04-14,202115,67
2021-04-15,2021-04-21,202116,68
